4687, t, 1256, 2024
4974, B, 3903, 4973
4402, O, 2705, 2817
3663, d, 2255, 1625
3812, x, 4749, 4426
3620, B, 3092, 915
274, k, 3274, 4511
4142, u, 1122, 3356
3938, Z, 2632, 3923
1678, j, 2751, 4131
741, y, 4872, 3200
873, U, 2582, 2793
4590, H, 1420, 4458
3639, F, 1924, 4371
4245, h, 1182, 3921
4991, W, 66, 3516
218, H, 4093, 3367
2102, n, 1205, 2773
1714, l, 938, 496
2250, b, 4045, 3266
4259, b, 4269, 458
4437, R, 4995, 4236
2712, m, 3511, 4345
429, R, 1050, 4744
3771, a, 3574, 3962
3762, U, 4565, 4656
2559, I, 509, 2981
985, Q, 4853, 2541
635, G, 3573, 603
32, d, 1096, 3142
2925, k, 3619, 4516
4325, k, 2817, 1787
4493, g, 1256, 1276
2583, d, 2540, 3561
4656, g, 3996, 2376
474, X, 2304, 1948
420, X, 3876, 72
4992, y, 575, 4661
2390, z, 3558, 4366
4087, e, 4549, 1957
4930, q, 4015, 614
4098, e, 4340, 4611
3099, Z, 2366, 4843
3357, N, 1958, 2494
3355, I, 1917, 3243
1939, u, 3581, 4348
1511, K, 731, 3995
1885, K, 4348, 1100
3790, c, 2840, 3828
3780, e, 3276, 1893
1880, e, 3615, 2835
431, Y, 28, 2281
3757, B, 2863, 3124
2517, Q, 3339, 451
1017, i, 1902, 3511
3504, R, 6, 4849
4970, j, 415, 2888
4670, x, 2641, 2130
2959, C, 1731, 4452
1728, r, 532, 4963
388, I, 29, 178
2878, s, 4468, 253
1376, p, 2544, 1564
3469, Q, 1838, 1196
4658, q, 1376, 2412
1896, g, 1705, 91
1901, Z, 1557, 836
4413, V, 3672, 2421
4047, w, 1826, 4964
1099, L, 3540, 1919
4773, i, 4772, 150
4836, b, 514, 2766
235, o, 1551, 831
3208, c, 1427, 2006
1024, t, 1343, 1243
1630, v, 1388, 2772
3683, L, 4105, 2418
4228, V, 531, 4770
932, n, 1114, 56
424, J, 2148, 3813
258, m, 3665, 4
3110, u, 1084, 3470
1750, J, 2041, 2960
4158, m, 1058, 4331
1844, r, 3064, 1783
756, z, 2725, 1822
1755, J, 3994, 1594
868, T, 4031, 1513
460, y, 4960, 1385
2395, S, 5000, 2944
1808, x, 2395, 788
3610, F, 3960, 4096
2599, A, 4820, 3045
530, c, 4860, 2251
3499, L, 550, 4016
81, j, 2481, 2150
4835, k, 551, 3737
1988, Z, 3692, 3658
4632, X, 2375, 2082
4630, Q, 1855, 2098
